epoch 0:	pdl:2.28e+00 	 Rec:9.94e-02 	 Color:0.00e+00 	Time: 0.02
epoch 1500:	pdl:6.37e-01 	 Rec:2.04e-03 	 Color:0.00e+00 	Time: 0.85
epoch 1550:	pdl:5.74e-01 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 0.80
epoch 1600:	pdl:6.02e-01 	 Rec:1.82e-03 	 Color:0.00e+00 	Time: 0.84
epoch 1650:	pdl:5.46e-01 	 Rec:1.67e-03 	 Color:0.00e+00 	Time: 0.81
epoch 1700:	pdl:6.07e-01 	 Rec:1.73e-03 	 Color:0.00e+00 	Time: 0.83
epoch 1750:	pdl:5.70e-01 	 Rec:1.76e-03 	 Color:0.00e+00 	Time: 0.86
epoch 1800:	pdl:6.18e-01 	 Rec:1.59e-03 	 Color:0.00e+00 	Time: 0.78
epoch 1850:	pdl:6.05e-01 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 0.79
epoch 1900:	pdl:6.04e-01 	 Rec:1.65e-03 	 Color:0.00e+00 	Time: 0.83
epoch 1950:	pdl:5.92e-01 	 Rec:1.54e-03 	 Color:0.00e+00 	Time: 0.82
epoch 2000:	pdl:6.01e-01 	 Rec:1.50e-03 	 Color:0.00e+00 	Time: 0.82
epoch 2050:	pdl:5.35e-01 	 Rec:1.51e-03 	 Color:0.00e+00 	Time: 0.84
epoch 2100:	pdl:6.21e-01 	 Rec:1.47e-03 	 Color:0.00e+00 	Time: 0.85
epoch 2150:	pdl:6.78e-01 	 Rec:1.74e-03 	 Color:0.00e+00 	Time: 0.83
epoch 2200:	pdl:6.09e-01 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 0.79
epoch 2250:	pdl:5.89e-01 	 Rec:1.46e-03 	 Color:0.00e+00 	Time: 0.83
epoch 2300:	pdl:5.82e-01 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 0.81
epoch 2350:	pdl:5.50e-01 	 Rec:1.44e-03 	 Color:0.00e+00 	Time: 0.79
epoch 2400:	pdl:6.10e-01 	 Rec:1.40e-03 	 Color:0.00e+00 	Time: 0.86
epoch 2450:	pdl:6.21e-01 	 Rec:1.40e-03 	 Color:0.00e+00 	Time: 0.82
epoch 2500:	pdl:6.15e-01 	 Rec:1.29e-03 	 Color:0.00e+00 	Time: 0.85
epoch 2550:	pdl:5.77e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 0.84
epoch 2600:	pdl:5.82e-01 	 Rec:1.36e-03 	 Color:0.00e+00 	Time: 0.83
epoch 2650:	pdl:5.80e-01 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 0.78
epoch 2700:	pdl:6.03e-01 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 0.84
epoch 2750:	pdl:5.42e-01 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 0.83
epoch 2800:	pdl:6.02e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.88
epoch 2850:	pdl:5.74e-01 	 Rec:1.35e-03 	 Color:0.00e+00 	Time: 0.85
epoch 2900:	pdl:5.64e-01 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 0.83
epoch 2950:	pdl:5.68e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 0.85
epoch 3000:	pdl:5.71e-01 	 Rec:1.27e-03 	 Color:0.00e+00 	Time: 0.82
epoch 3050:	pdl:5.40e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.81
epoch 3100:	pdl:5.68e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 0.86
epoch 3150:	pdl:5.61e-01 	 Rec:1.20e-03 	 Color:0.00e+00 	Time: 0.81
epoch 3200:	pdl:5.74e-01 	 Rec:1.27e-03 	 Color:0.00e+00 	Time: 0.82
epoch 3250:	pdl:6.26e-01 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 0.84
epoch 3300:	pdl:5.74e-01 	 Rec:1.14e-03 	 Color:0.00e+00 	Time: 0.82
epoch 3350:	pdl:6.57e-01 	 Rec:1.23e-03 	 Color:0.00e+00 	Time: 0.80
epoch 3400:	pdl:5.77e-01 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 0.78
epoch 3450:	pdl:5.28e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.81
epoch 3500:	pdl:5.65e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 0.84
epoch 3550:	pdl:5.90e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.84
epoch 3600:	pdl:5.25e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 0.87
epoch 3650:	pdl:5.64e-01 	 Rec:1.06e-03 	 Color:0.00e+00 	Time: 0.84
epoch 3700:	pdl:5.59e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 0.84
epoch 3750:	pdl:5.42e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.81
epoch 3800:	pdl:5.85e-01 	 Rec:1.05e-03 	 Color:0.00e+00 	Time: 0.81
epoch 3850:	pdl:5.24e-01 	 Rec:9.48e-04 	 Color:0.00e+00 	Time: 0.83
epoch 3900:	pdl:5.36e-01 	 Rec:9.46e-04 	 Color:0.00e+00 	Time: 0.81
epoch 3950:	pdl:5.68e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 0.82
epoch 4000:	pdl:5.69e-01 	 Rec:9.26e-04 	 Color:0.00e+00 	Time: 0.85
epoch 4050:	pdl:5.29e-01 	 Rec:8.92e-04 	 Color:0.00e+00 	Time: 0.84
epoch 4100:	pdl:5.46e-01 	 Rec:9.30e-04 	 Color:0.00e+00 	Time: 0.85
epoch 4150:	pdl:5.49e-01 	 Rec:9.71e-04 	 Color:0.00e+00 	Time: 0.81
epoch 4200:	pdl:5.97e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 0.81
epoch 4250:	pdl:5.43e-01 	 Rec:9.77e-04 	 Color:0.00e+00 	Time: 0.81
epoch 4300:	pdl:5.67e-01 	 Rec:1.03e-03 	 Color:0.00e+00 	Time: 0.83
epoch 4350:	pdl:5.86e-01 	 Rec:8.64e-04 	 Color:0.00e+00 	Time: 0.83
epoch 4400:	pdl:5.70e-01 	 Rec:8.56e-04 	 Color:0.00e+00 	Time: 0.78
epoch 4450:	pdl:5.59e-01 	 Rec:9.64e-04 	 Color:0.00e+00 	Time: 0.78
epoch 4500:	pdl:5.67e-01 	 Rec:8.56e-04 	 Color:0.00e+00 	Time: 0.82
epoch 4550:	pdl:5.73e-01 	 Rec:1.20e-03 	 Color:0.00e+00 	Time: 0.82
epoch 4600:	pdl:5.40e-01 	 Rec:8.33e-04 	 Color:0.00e+00 	Time: 0.81
epoch 4650:	pdl:6.11e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 0.85
epoch 4700:	pdl:5.55e-01 	 Rec:8.38e-04 	 Color:0.00e+00 	Time: 0.83
epoch 4750:	pdl:5.77e-01 	 Rec:8.10e-04 	 Color:0.00e+00 	Time: 0.85
epoch 4800:	pdl:5.66e-01 	 Rec:9.14e-04 	 Color:0.00e+00 	Time: 0.85
epoch 4850:	pdl:5.41e-01 	 Rec:9.97e-04 	 Color:0.00e+00 	Time: 0.82
epoch 4900:	pdl:5.30e-01 	 Rec:9.78e-04 	 Color:0.00e+00 	Time: 0.84
epoch 4950:	pdl:5.55e-01 	 Rec:8.35e-04 	 Color:0.00e+00 	Time: 0.83
epoch 5000:	pdl:5.41e-01 	 Rec:8.28e-04 	 Color:0.00e+00 	Time: 0.81
epoch 5050:	pdl:6.22e-01 	 Rec:7.73e-04 	 Color:0.00e+00 	Time: 0.84
epoch 5100:	pdl:5.56e-01 	 Rec:8.32e-04 	 Color:0.00e+00 	Time: 0.80
epoch 5150:	pdl:5.49e-01 	 Rec:8.23e-04 	 Color:0.00e+00 	Time: 0.83
epoch 5200:	pdl:5.43e-01 	 Rec:7.90e-04 	 Color:0.00e+00 	Time: 0.82
epoch 5250:	pdl:5.53e-01 	 Rec:8.42e-04 	 Color:0.00e+00 	Time: 0.80
epoch 5300:	pdl:5.92e-01 	 Rec:8.68e-04 	 Color:0.00e+00 	Time: 0.83
epoch 5350:	pdl:5.97e-01 	 Rec:7.86e-04 	 Color:0.00e+00 	Time: 0.82
epoch 5400:	pdl:5.99e-01 	 Rec:9.53e-04 	 Color:0.00e+00 	Time: 0.82
epoch 5450:	pdl:5.55e-01 	 Rec:8.47e-04 	 Color:0.00e+00 	Time: 0.83
epoch 5500:	pdl:5.53e-01 	 Rec:7.86e-04 	 Color:0.00e+00 	Time: 0.78
epoch 5550:	pdl:5.60e-01 	 Rec:7.54e-04 	 Color:0.00e+00 	Time: 0.78
epoch 5600:	pdl:5.98e-01 	 Rec:7.53e-04 	 Color:0.00e+00 	Time: 0.82
epoch 5650:	pdl:5.50e-01 	 Rec:7.69e-04 	 Color:0.00e+00 	Time: 0.78
epoch 5700:	pdl:6.06e-01 	 Rec:6.97e-04 	 Color:0.00e+00 	Time: 0.78
epoch 5750:	pdl:5.60e-01 	 Rec:7.01e-04 	 Color:0.00e+00 	Time: 0.80
epoch 5800:	pdl:5.57e-01 	 Rec:7.46e-04 	 Color:0.00e+00 	Time: 0.86
epoch 5850:	pdl:5.41e-01 	 Rec:7.38e-04 	 Color:0.00e+00 	Time: 0.79
epoch 5900:	pdl:5.99e-01 	 Rec:7.67e-04 	 Color:0.00e+00 	Time: 0.79
epoch 5950:	pdl:5.90e-01 	 Rec:8.18e-04 	 Color:0.00e+00 	Time: 0.82
epoch 6000:	pdl:5.74e-01 	 Rec:7.48e-04 	 Color:0.00e+00 	Time: 0.81
epoch 6050:	pdl:6.11e-01 	 Rec:7.37e-04 	 Color:0.00e+00 	Time: 0.86
epoch 6100:	pdl:5.31e-01 	 Rec:7.13e-04 	 Color:0.00e+00 	Time: 0.80
epoch 6150:	pdl:5.52e-01 	 Rec:7.36e-04 	 Color:0.00e+00 	Time: 0.77
epoch 6200:	pdl:5.67e-01 	 Rec:7.30e-04 	 Color:0.00e+00 	Time: 0.82
epoch 6250:	pdl:5.09e-01 	 Rec:7.98e-04 	 Color:0.00e+00 	Time: 0.84
epoch 6300:	pdl:5.35e-01 	 Rec:7.27e-04 	 Color:0.00e+00 	Time: 0.81
epoch 6350:	pdl:5.33e-01 	 Rec:8.37e-04 	 Color:0.00e+00 	Time: 0.78
epoch 6400:	pdl:5.76e-01 	 Rec:8.97e-04 	 Color:0.00e+00 	Time: 0.83
epoch 6450:	pdl:5.36e-01 	 Rec:5.09e-04 	 Color:0.00e+00 	Time: 0.77
epoch 6500:	pdl:5.39e-01 	 Rec:4.86e-04 	 Color:0.00e+00 	Time: 0.80
epoch 6550:	pdl:5.18e-01 	 Rec:4.66e-04 	 Color:0.00e+00 	Time: 0.78
epoch 6600:	pdl:5.34e-01 	 Rec:4.62e-04 	 Color:0.00e+00 	Time: 0.79
epoch 6650:	pdl:6.23e-01 	 Rec:4.55e-04 	 Color:0.00e+00 	Time: 0.79
epoch 6700:	pdl:5.18e-01 	 Rec:4.53e-04 	 Color:0.00e+00 	Time: 0.79
epoch 6750:	pdl:5.30e-01 	 Rec:4.47e-04 	 Color:0.00e+00 	Time: 0.81
epoch 6800:	pdl:5.40e-01 	 Rec:4.49e-04 	 Color:0.00e+00 	Time: 0.84
epoch 6850:	pdl:5.50e-01 	 Rec:4.31e-04 	 Color:0.00e+00 	Time: 0.79
epoch 6900:	pdl:5.44e-01 	 Rec:4.29e-04 	 Color:0.00e+00 	Time: 0.86
epoch 6950:	pdl:5.65e-01 	 Rec:4.35e-04 	 Color:0.00e+00 	Time: 0.82
epoch 7000:	pdl:5.48e-01 	 Rec:4.30e-04 	 Color:0.00e+00 	Time: 0.77
epoch 7050:	pdl:5.56e-01 	 Rec:4.42e-04 	 Color:0.00e+00 	Time: 0.82
epoch 7100:	pdl:5.16e-01 	 Rec:4.24e-04 	 Color:0.00e+00 	Time: 0.82
epoch 7150:	pdl:5.07e-01 	 Rec:4.21e-04 	 Color:0.00e+00 	Time: 0.82
epoch 7200:	pdl:5.31e-01 	 Rec:4.25e-04 	 Color:0.00e+00 	Time: 0.85
epoch 7250:	pdl:5.48e-01 	 Rec:4.16e-04 	 Color:0.00e+00 	Time: 0.82
epoch 7300:	pdl:5.30e-01 	 Rec:4.11e-04 	 Color:0.00e+00 	Time: 0.84
epoch 7350:	pdl:5.23e-01 	 Rec:4.28e-04 	 Color:0.00e+00 	Time: 0.79
epoch 7400:	pdl:5.36e-01 	 Rec:4.13e-04 	 Color:0.00e+00 	Time: 0.84
epoch 7450:	pdl:5.42e-01 	 Rec:4.15e-04 	 Color:0.00e+00 	Time: 0.82
epoch 7500:	pdl:5.01e-01 	 Rec:4.19e-04 	 Color:0.00e+00 	Time: 0.85
epoch 7550:	pdl:5.26e-01 	 Rec:4.20e-04 	 Color:0.00e+00 	Time: 0.84
epoch 7600:	pdl:5.01e-01 	 Rec:4.18e-04 	 Color:0.00e+00 	Time: 0.81
epoch 7650:	pdl:5.49e-01 	 Rec:4.11e-04 	 Color:0.00e+00 	Time: 0.77
epoch 7700:	pdl:5.16e-01 	 Rec:4.02e-04 	 Color:0.00e+00 	Time: 0.84
epoch 7750:	pdl:5.13e-01 	 Rec:4.08e-04 	 Color:0.00e+00 	Time: 0.82
epoch 7800:	pdl:4.95e-01 	 Rec:4.18e-04 	 Color:0.00e+00 	Time: 0.79
epoch 7850:	pdl:5.88e-01 	 Rec:4.03e-04 	 Color:0.00e+00 	Time: 0.82
epoch 7900:	pdl:5.61e-01 	 Rec:4.12e-04 	 Color:0.00e+00 	Time: 0.84
epoch 7950:	pdl:5.28e-01 	 Rec:4.19e-04 	 Color:0.00e+00 	Time: 0.82
