epoch 0:	gram:5.51e-02 	 Rec:5.28e-02 	 Color:0.00e+00 	Time: 0.02
epoch 1050:	gram:1.28e-02 	 Rec:5.89e-04 	 Color:0.00e+00 	Time: 0.60
epoch 1100:	gram:1.31e-02 	 Rec:4.93e-04 	 Color:0.00e+00 	Time: 0.58
epoch 1150:	gram:1.24e-02 	 Rec:4.74e-04 	 Color:0.00e+00 	Time: 0.58
epoch 1200:	gram:1.44e-02 	 Rec:4.71e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1250:	gram:1.25e-02 	 Rec:3.88e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1300:	gram:1.34e-02 	 Rec:4.32e-04 	 Color:0.00e+00 	Time: 0.59
epoch 1350:	gram:1.12e-02 	 Rec:3.52e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1400:	gram:1.34e-02 	 Rec:3.39e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1450:	gram:1.26e-02 	 Rec:7.47e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1500:	gram:1.12e-02 	 Rec:5.78e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1550:	gram:1.26e-02 	 Rec:3.84e-04 	 Color:0.00e+00 	Time: 0.58
epoch 1600:	gram:1.26e-02 	 Rec:3.16e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1650:	gram:1.49e-02 	 Rec:2.62e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1700:	gram:1.27e-02 	 Rec:2.80e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1750:	gram:1.41e-02 	 Rec:3.08e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1800:	gram:1.32e-02 	 Rec:3.98e-04 	 Color:0.00e+00 	Time: 0.58
epoch 1850:	gram:1.31e-02 	 Rec:2.75e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1900:	gram:1.14e-02 	 Rec:2.28e-04 	 Color:0.00e+00 	Time: 0.56
epoch 1950:	gram:1.10e-02 	 Rec:3.54e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2000:	gram:8.94e-03 	 Rec:2.59e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2050:	gram:1.27e-02 	 Rec:2.38e-04 	 Color:0.00e+00 	Time: 0.59
epoch 2100:	gram:1.06e-02 	 Rec:2.41e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2150:	gram:1.27e-02 	 Rec:2.31e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2200:	gram:1.14e-02 	 Rec:2.50e-04 	 Color:0.00e+00 	Time: 0.55
epoch 2250:	gram:1.34e-02 	 Rec:2.16e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2300:	gram:1.16e-02 	 Rec:2.60e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2350:	gram:1.23e-02 	 Rec:2.17e-04 	 Color:0.00e+00 	Time: 0.58
epoch 2400:	gram:1.44e-02 	 Rec:4.74e-04 	 Color:0.00e+00 	Time: 0.55
epoch 2450:	gram:1.28e-02 	 Rec:2.39e-04 	 Color:0.00e+00 	Time: 0.57
epoch 2500:	gram:1.63e-02 	 Rec:2.45e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2550:	gram:1.33e-02 	 Rec:3.74e-04 	 Color:0.00e+00 	Time: 0.57
epoch 2600:	gram:1.35e-02 	 Rec:1.68e-04 	 Color:0.00e+00 	Time: 0.56
epoch 2650:	gram:1.01e-02 	 Rec:3.76e-04 	 Color:0.00e+00 	Time: 0.55
epoch 2700:	gram:1.30e-02 	 Rec:3.04e-04 	 Color:0.00e+00 	Time: 0.55
epoch 2750:	gram:1.26e-02 	 Rec:1.77e-04 	 Color:0.00e+00 	Time: 0.55
epoch 2800:	gram:1.22e-02 	 Rec:2.82e-04 	 Color:0.00e+00 	Time: 0.55
epoch 2850:	gram:1.21e-02 	 Rec:2.38e-04 	 Color:0.00e+00 	Time: 0.55
epoch 2900:	gram:1.35e-02 	 Rec:3.59e-04 	 Color:0.00e+00 	Time: 0.55
epoch 2950:	gram:1.28e-02 	 Rec:2.01e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3000:	gram:1.10e-02 	 Rec:1.81e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3050:	gram:1.24e-02 	 Rec:2.21e-04 	 Color:0.00e+00 	Time: 0.58
epoch 3100:	gram:1.10e-02 	 Rec:1.51e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3150:	gram:9.59e-03 	 Rec:1.80e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3200:	gram:1.06e-02 	 Rec:2.69e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3250:	gram:1.11e-02 	 Rec:1.39e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3300:	gram:1.00e-02 	 Rec:2.46e-04 	 Color:0.00e+00 	Time: 0.56
epoch 3350:	gram:1.36e-02 	 Rec:1.96e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3400:	gram:1.08e-02 	 Rec:2.34e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3450:	gram:1.05e-02 	 Rec:1.78e-04 	 Color:0.00e+00 	Time: 0.60
epoch 3500:	gram:1.22e-02 	 Rec:1.92e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3550:	gram:1.07e-02 	 Rec:1.41e-04 	 Color:0.00e+00 	Time: 0.57
epoch 3600:	gram:1.47e-02 	 Rec:2.00e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3650:	gram:1.06e-02 	 Rec:1.96e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3700:	gram:1.16e-02 	 Rec:1.42e-04 	 Color:0.00e+00 	Time: 0.62
epoch 3750:	gram:1.31e-02 	 Rec:1.79e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3800:	gram:1.04e-02 	 Rec:7.47e-04 	 Color:0.00e+00 	Time: 0.57
epoch 3850:	gram:8.65e-03 	 Rec:2.29e-04 	 Color:0.00e+00 	Time: 0.58
epoch 3900:	gram:1.16e-02 	 Rec:1.40e-04 	 Color:0.00e+00 	Time: 0.55
epoch 3950:	gram:1.13e-02 	 Rec:2.23e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4000:	gram:1.15e-02 	 Rec:1.40e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4050:	gram:1.41e-02 	 Rec:2.54e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4100:	gram:1.05e-02 	 Rec:2.51e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4150:	gram:1.06e-02 	 Rec:2.18e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4200:	gram:1.10e-02 	 Rec:2.98e-04 	 Color:0.00e+00 	Time: 0.57
epoch 4250:	gram:9.30e-03 	 Rec:3.59e-04 	 Color:0.00e+00 	Time: 0.57
epoch 4300:	gram:1.00e-02 	 Rec:1.45e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4350:	gram:1.11e-02 	 Rec:1.86e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4400:	gram:1.21e-02 	 Rec:1.20e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4450:	gram:1.27e-02 	 Rec:2.15e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4500:	gram:1.07e-02 	 Rec:1.45e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4550:	gram:1.28e-02 	 Rec:1.56e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4600:	gram:9.70e-03 	 Rec:9.19e-05 	 Color:0.00e+00 	Time: 0.55
epoch 4650:	gram:1.06e-02 	 Rec:1.24e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4700:	gram:9.88e-03 	 Rec:1.50e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4750:	gram:1.05e-02 	 Rec:1.30e-04 	 Color:0.00e+00 	Time: 0.61
epoch 4800:	gram:9.77e-03 	 Rec:2.04e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4850:	gram:1.31e-02 	 Rec:2.34e-04 	 Color:0.00e+00 	Time: 0.56
epoch 4900:	gram:9.93e-03 	 Rec:2.03e-04 	 Color:0.00e+00 	Time: 0.55
epoch 4950:	gram:1.23e-02 	 Rec:4.13e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5000:	gram:9.52e-03 	 Rec:1.92e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5050:	gram:1.09e-02 	 Rec:1.25e-04 	 Color:0.00e+00 	Time: 0.59
epoch 5100:	gram:1.26e-02 	 Rec:1.24e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5150:	gram:1.05e-02 	 Rec:1.86e-04 	 Color:0.00e+00 	Time: 0.54
epoch 5200:	gram:1.12e-02 	 Rec:1.49e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5250:	gram:1.07e-02 	 Rec:2.26e-04 	 Color:0.00e+00 	Time: 0.60
epoch 5300:	gram:9.34e-03 	 Rec:1.25e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5350:	gram:1.12e-02 	 Rec:1.52e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5400:	gram:1.15e-02 	 Rec:1.21e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5450:	gram:9.85e-03 	 Rec:1.45e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5500:	gram:1.04e-02 	 Rec:1.26e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5550:	gram:1.15e-02 	 Rec:1.03e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5600:	gram:1.04e-02 	 Rec:1.09e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5650:	gram:1.62e-02 	 Rec:1.27e-04 	 Color:0.00e+00 	Time: 0.58
epoch 5700:	gram:1.06e-02 	 Rec:1.53e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5750:	gram:1.18e-02 	 Rec:1.15e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5800:	gram:1.04e-02 	 Rec:1.24e-04 	 Color:0.00e+00 	Time: 0.55
epoch 5850:	gram:1.29e-02 	 Rec:2.84e-04 	 Color:0.00e+00 	Time: 0.56
epoch 5900:	gram:8.58e-03 	 Rec:1.16e-04 	 Color:0.00e+00 	Time: 0.57
epoch 5950:	gram:1.10e-02 	 Rec:1.81e-04 	 Color:0.00e+00 	Time: 0.57
epoch 6000:	gram:1.27e-02 	 Rec:2.86e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6050:	gram:1.07e-02 	 Rec:1.26e-04 	 Color:0.00e+00 	Time: 0.58
epoch 6100:	gram:1.24e-02 	 Rec:1.44e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6150:	gram:1.15e-02 	 Rec:9.14e-05 	 Color:0.00e+00 	Time: 0.55
epoch 6200:	gram:9.86e-03 	 Rec:1.42e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6250:	gram:9.86e-03 	 Rec:1.47e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6300:	gram:1.05e-02 	 Rec:1.13e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6350:	gram:1.03e-02 	 Rec:1.51e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6400:	gram:1.04e-02 	 Rec:1.75e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6450:	gram:9.89e-03 	 Rec:1.76e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6500:	gram:1.08e-02 	 Rec:1.17e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6550:	gram:8.86e-03 	 Rec:1.09e-04 	 Color:0.00e+00 	Time: 0.54
epoch 6600:	gram:1.35e-02 	 Rec:1.56e-04 	 Color:0.00e+00 	Time: 0.54
epoch 6650:	gram:1.05e-02 	 Rec:1.05e-04 	 Color:0.00e+00 	Time: 0.56
epoch 6700:	gram:1.01e-02 	 Rec:1.09e-04 	 Color:0.00e+00 	Time: 0.56
epoch 6750:	gram:1.60e-02 	 Rec:1.39e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6800:	gram:1.33e-02 	 Rec:1.19e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6850:	gram:1.29e-02 	 Rec:1.27e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6900:	gram:9.08e-03 	 Rec:2.39e-04 	 Color:0.00e+00 	Time: 0.55
epoch 6950:	gram:8.88e-03 	 Rec:1.04e-04 	 Color:0.00e+00 	Time: 0.54
epoch 7000:	gram:1.43e-02 	 Rec:1.19e-04 	 Color:0.00e+00 	Time: 0.55
epoch 7050:	gram:1.07e-02 	 Rec:1.29e-04 	 Color:0.00e+00 	Time: 0.57
epoch 7100:	gram:1.41e-02 	 Rec:1.24e-04 	 Color:0.00e+00 	Time: 0.55
epoch 7150:	gram:1.19e-02 	 Rec:1.59e-04 	 Color:0.00e+00 	Time: 0.54
epoch 7200:	gram:1.04e-02 	 Rec:1.73e-04 	 Color:0.00e+00 	Time: 0.55
epoch 7250:	gram:9.22e-03 	 Rec:1.22e-04 	 Color:0.00e+00 	Time: 0.55
epoch 7300:	gram:9.73e-03 	 Rec:1.05e-04 	 Color:0.00e+00 	Time: 0.55
epoch 7350:	gram:1.13e-02 	 Rec:1.18e-04 	 Color:0.00e+00 	Time: 0.55
epoch 7400:	gram:9.79e-03 	 Rec:1.90e-04 	 Color:0.00e+00 	Time: 0.55
epoch 7450:	gram:9.49e-03 	 Rec:1.58e-04 	 Color:0.00e+00 	Time: 0.55
epoch 7500:	gram:1.44e-02 	 Rec:4.03e-04 	 Color:0.00e+00 	Time: 0.56
epoch 7550:	gram:9.72e-03 	 Rec:1.35e-04 	 Color:0.00e+00 	Time: 0.57
epoch 7600:	gram:1.06e-02 	 Rec:1.44e-04 	 Color:0.00e+00 	Time: 0.61
epoch 7650:	gram:1.23e-02 	 Rec:1.18e-04 	 Color:0.00e+00 	Time: 0.57
epoch 7700:	gram:1.02e-02 	 Rec:1.22e-04 	 Color:0.00e+00 	Time: 0.57
epoch 7750:	gram:9.68e-03 	 Rec:1.02e-04 	 Color:0.00e+00 	Time: 0.59
epoch 7800:	gram:9.15e-03 	 Rec:1.44e-04 	 Color:0.00e+00 	Time: 0.58
epoch 7850:	gram:1.11e-02 	 Rec:1.67e-04 	 Color:0.00e+00 	Time: 0.57
epoch 7900:	gram:1.20e-02 	 Rec:1.45e-04 	 Color:0.00e+00 	Time: 0.56
epoch 7950:	gram:9.89e-03 	 Rec:8.08e-05 	 Color:0.00e+00 	Time: 0.59
