epoch 0:	pdl:6.50e-01 	 Rec:8.54e-02 	 Color:0.00e+00 	Time: 0.04
epoch 50:	pdl:1.54e-01 	 Rec:3.09e-03 	 Color:0.00e+00 	Time: 2.42
epoch 100:	pdl:2.00e-01 	 Rec:4.12e-03 	 Color:0.00e+00 	Time: 2.37
epoch 150:	pdl:1.63e-01 	 Rec:3.42e-03 	 Color:0.00e+00 	Time: 2.43
epoch 200:	pdl:2.12e-01 	 Rec:2.55e-03 	 Color:0.00e+00 	Time: 2.42
epoch 250:	pdl:1.75e-01 	 Rec:1.95e-03 	 Color:0.00e+00 	Time: 2.33
epoch 300:	pdl:1.40e-01 	 Rec:2.55e-03 	 Color:0.00e+00 	Time: 2.40
epoch 350:	pdl:1.37e-01 	 Rec:2.08e-03 	 Color:0.00e+00 	Time: 2.37
epoch 400:	pdl:1.48e-01 	 Rec:1.91e-03 	 Color:0.00e+00 	Time: 2.36
epoch 450:	pdl:1.85e-01 	 Rec:1.92e-03 	 Color:0.00e+00 	Time: 2.40
epoch 500:	pdl:1.50e-01 	 Rec:1.82e-03 	 Color:0.00e+00 	Time: 2.38
epoch 550:	pdl:1.61e-01 	 Rec:1.83e-03 	 Color:0.00e+00 	Time: 2.39
epoch 600:	pdl:1.67e-01 	 Rec:1.77e-03 	 Color:0.00e+00 	Time: 2.41
epoch 650:	pdl:1.50e-01 	 Rec:1.98e-03 	 Color:0.00e+00 	Time: 2.38
epoch 700:	pdl:1.55e-01 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 2.40
epoch 750:	pdl:1.49e-01 	 Rec:1.57e-03 	 Color:0.00e+00 	Time: 2.22
epoch 800:	pdl:1.40e-01 	 Rec:1.48e-03 	 Color:0.00e+00 	Time: 2.42
epoch 850:	pdl:1.27e-01 	 Rec:1.77e-03 	 Color:0.00e+00 	Time: 2.47
epoch 900:	pdl:1.42e-01 	 Rec:1.68e-03 	 Color:0.00e+00 	Time: 2.46
epoch 950:	pdl:1.27e-01 	 Rec:1.53e-03 	 Color:0.00e+00 	Time: 2.44
epoch 1000:	pdl:1.94e-01 	 Rec:1.58e-03 	 Color:0.00e+00 	Time: 2.41
epoch 1050:	pdl:1.51e-01 	 Rec:1.69e-03 	 Color:0.00e+00 	Time: 2.45
epoch 1100:	pdl:1.47e-01 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 2.45
epoch 1150:	pdl:1.36e-01 	 Rec:1.54e-03 	 Color:0.00e+00 	Time: 2.46
epoch 1200:	pdl:1.32e-01 	 Rec:1.78e-03 	 Color:0.00e+00 	Time: 2.45
epoch 1250:	pdl:1.41e-01 	 Rec:1.71e-03 	 Color:0.00e+00 	Time: 2.45
epoch 1300:	pdl:2.02e-01 	 Rec:1.67e-03 	 Color:0.00e+00 	Time: 2.50
epoch 1350:	pdl:1.33e-01 	 Rec:1.51e-03 	 Color:0.00e+00 	Time: 2.46
epoch 1400:	pdl:1.30e-01 	 Rec:1.67e-03 	 Color:0.00e+00 	Time: 2.43
epoch 1450:	pdl:1.45e-01 	 Rec:1.72e-03 	 Color:0.00e+00 	Time: 2.48
epoch 1500:	pdl:1.54e-01 	 Rec:1.55e-03 	 Color:0.00e+00 	Time: 2.43
epoch 1550:	pdl:1.84e-01 	 Rec:1.63e-03 	 Color:0.00e+00 	Time: 2.48
epoch 1600:	pdl:1.89e-01 	 Rec:1.62e-03 	 Color:0.00e+00 	Time: 2.43
epoch 1650:	pdl:1.58e-01 	 Rec:1.64e-03 	 Color:0.00e+00 	Time: 2.48
epoch 1700:	pdl:1.62e-01 	 Rec:1.59e-03 	 Color:0.00e+00 	Time: 2.39
epoch 1750:	pdl:1.36e-01 	 Rec:1.52e-03 	 Color:0.00e+00 	Time: 2.44
epoch 1800:	pdl:1.44e-01 	 Rec:1.91e-03 	 Color:0.00e+00 	Time: 2.42
epoch 1850:	pdl:1.33e-01 	 Rec:1.79e-03 	 Color:0.00e+00 	Time: 2.50
epoch 1900:	pdl:1.48e-01 	 Rec:1.84e-03 	 Color:0.00e+00 	Time: 2.40
epoch 1950:	pdl:1.77e-01 	 Rec:1.60e-03 	 Color:0.00e+00 	Time: 2.39
epoch 2000:	pdl:1.72e-01 	 Rec:1.40e-03 	 Color:0.00e+00 	Time: 2.40
epoch 2050:	pdl:1.16e-01 	 Rec:1.50e-03 	 Color:0.00e+00 	Time: 2.17
epoch 2100:	pdl:1.40e-01 	 Rec:1.49e-03 	 Color:0.00e+00 	Time: 1.97
epoch 2150:	pdl:1.27e-01 	 Rec:1.38e-03 	 Color:0.00e+00 	Time: 2.01
epoch 2200:	pdl:1.33e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 1.75
epoch 2250:	pdl:1.54e-01 	 Rec:1.62e-03 	 Color:0.00e+00 	Time: 1.78
epoch 2300:	pdl:1.32e-01 	 Rec:1.64e-03 	 Color:0.00e+00 	Time: 1.76
epoch 2350:	pdl:1.48e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 1.79
epoch 2400:	pdl:1.48e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 1.74
epoch 2450:	pdl:1.60e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 1.76
epoch 2500:	pdl:1.36e-01 	 Rec:1.40e-03 	 Color:0.00e+00 	Time: 1.75
epoch 2550:	pdl:1.26e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 1.78
epoch 2600:	pdl:1.38e-01 	 Rec:1.34e-03 	 Color:0.00e+00 	Time: 1.74
epoch 2650:	pdl:1.32e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 1.82
epoch 2700:	pdl:1.48e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 1.84
epoch 2750:	pdl:1.25e-01 	 Rec:1.39e-03 	 Color:0.00e+00 	Time: 2.00
epoch 2800:	pdl:1.41e-01 	 Rec:1.44e-03 	 Color:0.00e+00 	Time: 2.13
epoch 2850:	pdl:1.28e-01 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 2.14
epoch 2900:	pdl:1.27e-01 	 Rec:1.27e-03 	 Color:0.00e+00 	Time: 2.17
epoch 2950:	pdl:1.30e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 2.21
epoch 3000:	pdl:1.76e-01 	 Rec:1.33e-03 	 Color:0.00e+00 	Time: 2.13
epoch 3050:	pdl:1.40e-01 	 Rec:1.37e-03 	 Color:0.00e+00 	Time: 2.20
epoch 3100:	pdl:1.37e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 2.24
epoch 3150:	pdl:1.22e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 2.18
epoch 3200:	pdl:1.29e-01 	 Rec:1.18e-03 	 Color:0.00e+00 	Time: 2.25
epoch 3250:	pdl:1.41e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 2.18
epoch 3300:	pdl:1.25e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 2.09
epoch 3350:	pdl:1.77e-01 	 Rec:1.20e-03 	 Color:0.00e+00 	Time: 2.21
epoch 3400:	pdl:1.22e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 2.18
epoch 3450:	pdl:1.40e-01 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 2.15
epoch 3500:	pdl:1.38e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 2.24
epoch 3550:	pdl:1.35e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 2.12
epoch 3600:	pdl:1.36e-01 	 Rec:1.25e-03 	 Color:0.00e+00 	Time: 2.19
epoch 3650:	pdl:1.27e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 2.27
epoch 3700:	pdl:1.34e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 2.18
epoch 3750:	pdl:1.28e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 2.19
epoch 3800:	pdl:1.32e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 2.20
epoch 3850:	pdl:1.30e-01 	 Rec:1.16e-03 	 Color:0.00e+00 	Time: 2.17
epoch 3900:	pdl:1.18e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 2.13
epoch 3950:	pdl:1.25e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 2.19
epoch 4000:	pdl:1.36e-01 	 Rec:1.32e-03 	 Color:0.00e+00 	Time: 2.18
epoch 4050:	pdl:1.39e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 2.19
epoch 4100:	pdl:1.31e-01 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 2.23
epoch 4150:	pdl:1.23e-01 	 Rec:1.19e-03 	 Color:0.00e+00 	Time: 2.18
epoch 4200:	pdl:1.32e-01 	 Rec:1.21e-03 	 Color:0.00e+00 	Time: 2.17
epoch 4250:	pdl:1.26e-01 	 Rec:1.07e-03 	 Color:0.00e+00 	Time: 2.18
epoch 4300:	pdl:1.39e-01 	 Rec:1.30e-03 	 Color:0.00e+00 	Time: 2.20
epoch 4350:	pdl:1.31e-01 	 Rec:1.24e-03 	 Color:0.00e+00 	Time: 2.17
epoch 4400:	pdl:1.34e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 2.20
epoch 4450:	pdl:1.42e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 2.12
epoch 4500:	pdl:1.29e-01 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 2.15
epoch 4550:	pdl:1.36e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 2.20
epoch 4600:	pdl:1.25e-01 	 Rec:1.08e-03 	 Color:0.00e+00 	Time: 2.19
epoch 4650:	pdl:1.32e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 2.19
epoch 4700:	pdl:1.33e-01 	 Rec:1.02e-03 	 Color:0.00e+00 	Time: 2.16
epoch 4750:	pdl:1.47e-01 	 Rec:9.60e-04 	 Color:0.00e+00 	Time: 2.17
epoch 4800:	pdl:1.18e-01 	 Rec:9.65e-04 	 Color:0.00e+00 	Time: 2.20
epoch 4850:	pdl:1.30e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 2.11
epoch 4900:	pdl:1.43e-01 	 Rec:1.11e-03 	 Color:0.00e+00 	Time: 2.22
epoch 4950:	pdl:1.21e-01 	 Rec:1.10e-03 	 Color:0.00e+00 	Time: 2.31
epoch 5000:	pdl:1.34e-01 	 Rec:1.22e-03 	 Color:0.00e+00 	Time: 2.22
epoch 5050:	pdl:1.31e-01 	 Rec:1.18e-03 	 Color:0.00e+00 	Time: 2.34
epoch 5100:	pdl:1.19e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 2.30
epoch 5150:	pdl:1.14e-01 	 Rec:9.81e-04 	 Color:0.00e+00 	Time: 2.25
epoch 5200:	pdl:1.44e-01 	 Rec:1.12e-03 	 Color:0.00e+00 	Time: 2.28
epoch 5250:	pdl:1.41e-01 	 Rec:1.15e-03 	 Color:0.00e+00 	Time: 2.30
epoch 5300:	pdl:1.22e-01 	 Rec:1.17e-03 	 Color:0.00e+00 	Time: 2.26
epoch 5350:	pdl:1.34e-01 	 Rec:1.09e-03 	 Color:0.00e+00 	Time: 2.30
epoch 5400:	pdl:1.29e-01 	 Rec:1.13e-03 	 Color:0.00e+00 	Time: 2.25
