epoch 0:	pdl:9.10e-01 	 Rec:7.07e-02 	 Color:0.00e+00 	Time: 0.01
epoch 1850:	pdl:1.67e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 0.44
epoch 1900:	pdl:1.96e-01 	 Rec:9.41e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1950:	pdl:2.28e-01 	 Rec:9.56e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2000:	pdl:1.80e-01 	 Rec:9.91e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2050:	pdl:1.73e-01 	 Rec:9.66e-04 	 Color:0.00e+00 	Time: 0.49
epoch 2100:	pdl:1.87e-01 	 Rec:8.91e-04 	 Color:0.00e+00 	Time: 0.49
epoch 2150:	pdl:1.62e-01 	 Rec:9.09e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2200:	pdl:1.65e-01 	 Rec:1.04e-03 	 Color:0.00e+00 	Time: 0.42
epoch 2250:	pdl:2.03e-01 	 Rec:9.31e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2300:	pdl:1.74e-01 	 Rec:9.03e-04 	 Color:0.00e+00 	Time: 0.47
epoch 2350:	pdl:1.74e-01 	 Rec:8.00e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2400:	pdl:1.90e-01 	 Rec:9.18e-04 	 Color:0.00e+00 	Time: 0.43
epoch 2450:	pdl:1.51e-01 	 Rec:8.37e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2500:	pdl:1.55e-01 	 Rec:8.17e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2550:	pdl:1.46e-01 	 Rec:8.23e-04 	 Color:0.00e+00 	Time: 0.42
epoch 2600:	pdl:1.59e-01 	 Rec:9.29e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2650:	pdl:1.77e-01 	 Rec:8.17e-04 	 Color:0.00e+00 	Time: 0.44
epoch 2700:	pdl:1.57e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.45
epoch 2750:	pdl:1.77e-01 	 Rec:8.66e-04 	 Color:0.00e+00 	Time: 0.50
epoch 2800:	pdl:1.72e-01 	 Rec:8.00e-04 	 Color:0.00e+00 	Time: 0.46
epoch 2850:	pdl:1.67e-01 	 Rec:9.08e-04 	 Color:0.00e+00 	Time: 0.45
epoch 2900:	pdl:1.81e-01 	 Rec:7.95e-04 	 Color:0.00e+00 	Time: 0.50
epoch 2950:	pdl:1.59e-01 	 Rec:7.90e-04 	 Color:0.00e+00 	Time: 0.45
epoch 3000:	pdl:1.76e-01 	 Rec:7.62e-04 	 Color:0.00e+00 	Time: 0.45
epoch 3050:	pdl:1.82e-01 	 Rec:7.51e-04 	 Color:0.00e+00 	Time: 0.47
epoch 3100:	pdl:1.63e-01 	 Rec:7.19e-04 	 Color:0.00e+00 	Time: 0.45
epoch 3150:	pdl:1.80e-01 	 Rec:8.30e-04 	 Color:0.00e+00 	Time: 0.48
epoch 3200:	pdl:1.60e-01 	 Rec:7.29e-04 	 Color:0.00e+00 	Time: 0.44
epoch 3250:	pdl:1.67e-01 	 Rec:7.14e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3300:	pdl:1.61e-01 	 Rec:7.50e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3350:	pdl:1.67e-01 	 Rec:7.33e-04 	 Color:0.00e+00 	Time: 0.49
epoch 3400:	pdl:1.59e-01 	 Rec:7.51e-04 	 Color:0.00e+00 	Time: 0.50
epoch 3450:	pdl:1.64e-01 	 Rec:6.89e-04 	 Color:0.00e+00 	Time: 0.49
epoch 3500:	pdl:1.70e-01 	 Rec:7.47e-04 	 Color:0.00e+00 	Time: 0.44
epoch 3550:	pdl:1.79e-01 	 Rec:8.08e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3600:	pdl:1.62e-01 	 Rec:7.06e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3650:	pdl:1.74e-01 	 Rec:7.24e-04 	 Color:0.00e+00 	Time: 0.47
epoch 3700:	pdl:1.67e-01 	 Rec:7.72e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3750:	pdl:1.77e-01 	 Rec:6.75e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3800:	pdl:1.76e-01 	 Rec:7.07e-04 	 Color:0.00e+00 	Time: 0.50
epoch 3850:	pdl:1.56e-01 	 Rec:6.59e-04 	 Color:0.00e+00 	Time: 0.46
epoch 3900:	pdl:1.67e-01 	 Rec:6.88e-04 	 Color:0.00e+00 	Time: 0.48
epoch 3950:	pdl:1.72e-01 	 Rec:7.52e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4000:	pdl:1.79e-01 	 Rec:7.31e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4050:	pdl:1.73e-01 	 Rec:7.53e-04 	 Color:0.00e+00 	Time: 0.47
epoch 4100:	pdl:1.43e-01 	 Rec:6.98e-04 	 Color:0.00e+00 	Time: 0.44
epoch 4150:	pdl:1.70e-01 	 Rec:7.87e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4200:	pdl:1.69e-01 	 Rec:7.63e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4250:	pdl:1.63e-01 	 Rec:6.48e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4300:	pdl:1.53e-01 	 Rec:6.55e-04 	 Color:0.00e+00 	Time: 0.49
epoch 4350:	pdl:1.66e-01 	 Rec:6.32e-04 	 Color:0.00e+00 	Time: 0.48
epoch 4400:	pdl:1.60e-01 	 Rec:6.77e-04 	 Color:0.00e+00 	Time: 0.46
epoch 4450:	pdl:1.57e-01 	 Rec:6.84e-04 	 Color:0.00e+00 	Time: 0.46
epoch 4500:	pdl:1.65e-01 	 Rec:6.87e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4550:	pdl:1.58e-01 	 Rec:6.42e-04 	 Color:0.00e+00 	Time: 0.44
epoch 4600:	pdl:1.62e-01 	 Rec:6.07e-04 	 Color:0.00e+00 	Time: 0.46
epoch 4650:	pdl:1.41e-01 	 Rec:6.45e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4700:	pdl:1.58e-01 	 Rec:7.64e-04 	 Color:0.00e+00 	Time: 0.46
epoch 4750:	pdl:1.72e-01 	 Rec:5.74e-04 	 Color:0.00e+00 	Time: 0.49
epoch 4800:	pdl:1.49e-01 	 Rec:7.62e-04 	 Color:0.00e+00 	Time: 0.46
epoch 4850:	pdl:1.65e-01 	 Rec:6.24e-04 	 Color:0.00e+00 	Time: 0.43
epoch 4900:	pdl:1.52e-01 	 Rec:6.24e-04 	 Color:0.00e+00 	Time: 0.53
epoch 4950:	pdl:1.59e-01 	 Rec:6.74e-04 	 Color:0.00e+00 	Time: 0.49
epoch 5000:	pdl:1.81e-01 	 Rec:7.73e-04 	 Color:0.00e+00 	Time: 0.49
epoch 5050:	pdl:1.52e-01 	 Rec:7.39e-04 	 Color:0.00e+00 	Time: 0.48
epoch 5100:	pdl:1.62e-01 	 Rec:5.98e-04 	 Color:0.00e+00 	Time: 0.47
epoch 5150:	pdl:1.61e-01 	 Rec:6.34e-04 	 Color:0.00e+00 	Time: 0.43
epoch 5200:	pdl:1.56e-01 	 Rec:6.53e-04 	 Color:0.00e+00 	Time: 0.43
epoch 5250:	pdl:1.65e-01 	 Rec:6.44e-04 	 Color:0.00e+00 	Time: 0.43
epoch 5300:	pdl:1.85e-01 	 Rec:5.97e-04 	 Color:0.00e+00 	Time: 0.44
epoch 5350:	pdl:1.58e-01 	 Rec:5.61e-04 	 Color:0.00e+00 	Time: 0.45
epoch 5400:	pdl:1.73e-01 	 Rec:6.07e-04 	 Color:0.00e+00 	Time: 0.48
epoch 5450:	pdl:1.45e-01 	 Rec:5.72e-04 	 Color:0.00e+00 	Time: 0.48
epoch 5500:	pdl:1.50e-01 	 Rec:6.51e-04 	 Color:0.00e+00 	Time: 0.47
epoch 5550:	pdl:1.58e-01 	 Rec:5.87e-04 	 Color:0.00e+00 	Time: 0.46
epoch 5600:	pdl:1.38e-01 	 Rec:6.48e-04 	 Color:0.00e+00 	Time: 0.45
epoch 5650:	pdl:1.45e-01 	 Rec:6.39e-04 	 Color:0.00e+00 	Time: 0.45
epoch 5700:	pdl:1.67e-01 	 Rec:6.64e-04 	 Color:0.00e+00 	Time: 0.43
epoch 5750:	pdl:1.37e-01 	 Rec:5.98e-04 	 Color:0.00e+00 	Time: 0.47
epoch 5800:	pdl:1.63e-01 	 Rec:5.60e-04 	 Color:0.00e+00 	Time: 0.45
epoch 5850:	pdl:1.52e-01 	 Rec:5.10e-04 	 Color:0.00e+00 	Time: 0.50
epoch 5900:	pdl:1.71e-01 	 Rec:5.65e-04 	 Color:0.00e+00 	Time: 0.44
epoch 5950:	pdl:1.53e-01 	 Rec:5.88e-04 	 Color:0.00e+00 	Time: 0.48
epoch 6000:	pdl:1.50e-01 	 Rec:5.72e-04 	 Color:0.00e+00 	Time: 0.47
epoch 6050:	pdl:1.60e-01 	 Rec:5.14e-04 	 Color:0.00e+00 	Time: 0.49
epoch 6100:	pdl:1.42e-01 	 Rec:6.18e-04 	 Color:0.00e+00 	Time: 0.44
epoch 6150:	pdl:1.61e-01 	 Rec:6.73e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6200:	pdl:1.51e-01 	 Rec:5.99e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6250:	pdl:1.46e-01 	 Rec:5.02e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6300:	pdl:1.77e-01 	 Rec:5.48e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6350:	pdl:1.46e-01 	 Rec:5.77e-04 	 Color:0.00e+00 	Time: 0.42
epoch 6400:	pdl:1.55e-01 	 Rec:6.15e-04 	 Color:0.00e+00 	Time: 0.43
epoch 6450:	pdl:1.32e-01 	 Rec:4.24e-04 	 Color:0.00e+00 	Time: 0.46
epoch 6500:	pdl:1.51e-01 	 Rec:4.11e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6550:	pdl:1.50e-01 	 Rec:4.12e-04 	 Color:0.00e+00 	Time: 0.43
epoch 6600:	pdl:1.56e-01 	 Rec:4.10e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6650:	pdl:1.43e-01 	 Rec:4.02e-04 	 Color:0.00e+00 	Time: 0.43
epoch 6700:	pdl:1.60e-01 	 Rec:3.96e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6750:	pdl:1.56e-01 	 Rec:4.01e-04 	 Color:0.00e+00 	Time: 0.48
epoch 6800:	pdl:1.41e-01 	 Rec:4.00e-04 	 Color:0.00e+00 	Time: 0.45
epoch 6850:	pdl:1.47e-01 	 Rec:3.92e-04 	 Color:0.00e+00 	Time: 0.43
epoch 6900:	pdl:1.37e-01 	 Rec:3.99e-04 	 Color:0.00e+00 	Time: 0.46
epoch 6950:	pdl:1.48e-01 	 Rec:3.90e-04 	 Color:0.00e+00 	Time: 0.47
epoch 7000:	pdl:1.49e-01 	 Rec:3.92e-04 	 Color:0.00e+00 	Time: 0.43
epoch 7050:	pdl:1.60e-01 	 Rec:3.84e-04 	 Color:0.00e+00 	Time: 0.43
epoch 7100:	pdl:1.48e-01 	 Rec:3.86e-04 	 Color:0.00e+00 	Time: 0.45
epoch 7150:	pdl:1.62e-01 	 Rec:4.03e-04 	 Color:0.00e+00 	Time: 0.43
epoch 7200:	pdl:1.54e-01 	 Rec:3.89e-04 	 Color:0.00e+00 	Time: 0.45
epoch 7250:	pdl:1.40e-01 	 Rec:3.86e-04 	 Color:0.00e+00 	Time: 0.48
epoch 7300:	pdl:1.45e-01 	 Rec:3.88e-04 	 Color:0.00e+00 	Time: 0.48
epoch 7350:	pdl:1.62e-01 	 Rec:3.92e-04 	 Color:0.00e+00 	Time: 0.45
epoch 7400:	pdl:1.54e-01 	 Rec:3.88e-04 	 Color:0.00e+00 	Time: 0.44
epoch 7450:	pdl:1.70e-01 	 Rec:3.87e-04 	 Color:0.00e+00 	Time: 0.43
epoch 7500:	pdl:1.37e-01 	 Rec:3.89e-04 	 Color:0.00e+00 	Time: 0.44
epoch 7550:	pdl:1.42e-01 	 Rec:3.84e-04 	 Color:0.00e+00 	Time: 0.48
epoch 7600:	pdl:1.52e-01 	 Rec:3.82e-04 	 Color:0.00e+00 	Time: 0.44
epoch 7650:	pdl:1.49e-01 	 Rec:3.81e-04 	 Color:0.00e+00 	Time: 0.48
epoch 7700:	pdl:1.50e-01 	 Rec:3.86e-04 	 Color:0.00e+00 	Time: 0.44
epoch 7750:	pdl:1.42e-01 	 Rec:3.79e-04 	 Color:0.00e+00 	Time: 0.50
epoch 7800:	pdl:1.33e-01 	 Rec:3.93e-04 	 Color:0.00e+00 	Time: 0.46
epoch 7850:	pdl:1.57e-01 	 Rec:3.75e-04 	 Color:0.00e+00 	Time: 0.47
epoch 7900:	pdl:1.49e-01 	 Rec:3.78e-04 	 Color:0.00e+00 	Time: 0.44
epoch 7950:	pdl:1.38e-01 	 Rec:3.72e-04 	 Color:0.00e+00 	Time: 0.49
