epoch 0:	pdl:1.54e+00 	 Rec:1.54e+00 	 Color:0.00e+00 	Time: 0.01
epoch 50:	pdl:6.09e-01 	 Rec:1.07e-02 	 Color:0.00e+00 	Time: 0.41
epoch 100:	pdl:6.56e-01 	 Rec:8.39e-03 	 Color:0.00e+00 	Time: 0.39
epoch 150:	pdl:5.85e-01 	 Rec:4.62e-03 	 Color:0.00e+00 	Time: 0.39
epoch 200:	pdl:5.48e-01 	 Rec:5.39e-04 	 Color:0.00e+00 	Time: 0.40
epoch 250:	pdl:6.09e-01 	 Rec:9.40e-04 	 Color:0.00e+00 	Time: 0.41
epoch 300:	pdl:5.92e-01 	 Rec:3.95e-04 	 Color:0.00e+00 	Time: 0.39
epoch 350:	pdl:5.65e-01 	 Rec:5.64e-04 	 Color:0.00e+00 	Time: 0.41
epoch 400:	pdl:5.79e-01 	 Rec:1.14e-02 	 Color:0.00e+00 	Time: 0.43
epoch 450:	pdl:5.64e-01 	 Rec:5.06e-04 	 Color:0.00e+00 	Time: 0.37
epoch 500:	pdl:5.71e-01 	 Rec:3.67e-03 	 Color:0.00e+00 	Time: 0.40
epoch 550:	pdl:5.63e-01 	 Rec:4.33e-04 	 Color:0.00e+00 	Time: 0.39
epoch 600:	pdl:5.61e-01 	 Rec:7.62e-03 	 Color:0.00e+00 	Time: 0.41
epoch 650:	pdl:5.24e-01 	 Rec:7.94e-04 	 Color:0.00e+00 	Time: 0.39
epoch 700:	pdl:5.37e-01 	 Rec:6.10e-04 	 Color:0.00e+00 	Time: 0.41
epoch 750:	pdl:5.52e-01 	 Rec:2.47e-03 	 Color:0.00e+00 	Time: 0.36
epoch 800:	pdl:5.59e-01 	 Rec:2.22e-03 	 Color:0.00e+00 	Time: 0.38
epoch 850:	pdl:5.38e-01 	 Rec:5.91e-04 	 Color:0.00e+00 	Time: 0.40
epoch 900:	pdl:5.22e-01 	 Rec:2.67e-04 	 Color:0.00e+00 	Time: 0.43
epoch 950:	pdl:5.50e-01 	 Rec:1.97e-03 	 Color:0.00e+00 	Time: 0.41
epoch 1000:	pdl:5.20e-01 	 Rec:9.82e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1050:	pdl:5.41e-01 	 Rec:4.69e-04 	 Color:0.00e+00 	Time: 0.45
epoch 1100:	pdl:5.49e-01 	 Rec:1.73e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1150:	pdl:5.21e-01 	 Rec:3.66e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1200:	pdl:5.08e-01 	 Rec:3.32e-03 	 Color:0.00e+00 	Time: 0.40
epoch 1250:	pdl:5.00e-01 	 Rec:1.01e-03 	 Color:0.00e+00 	Time: 0.39
epoch 1300:	pdl:4.96e-01 	 Rec:2.44e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1350:	pdl:5.62e-01 	 Rec:7.02e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1400:	pdl:5.21e-01 	 Rec:4.24e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1450:	pdl:5.06e-01 	 Rec:9.02e-04 	 Color:0.00e+00 	Time: 0.43
epoch 1500:	pdl:5.75e-01 	 Rec:3.75e-04 	 Color:0.00e+00 	Time: 0.42
epoch 1550:	pdl:4.91e-01 	 Rec:3.69e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1600:	pdl:5.26e-01 	 Rec:3.35e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1650:	pdl:5.12e-01 	 Rec:8.64e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1700:	pdl:5.22e-01 	 Rec:3.41e-04 	 Color:0.00e+00 	Time: 0.38
epoch 1750:	pdl:5.19e-01 	 Rec:4.07e-04 	 Color:0.00e+00 	Time: 0.41
epoch 1800:	pdl:5.18e-01 	 Rec:2.23e-03 	 Color:0.00e+00 	Time: 0.42
epoch 1850:	pdl:5.18e-01 	 Rec:6.16e-04 	 Color:0.00e+00 	Time: 0.40
epoch 1900:	pdl:5.49e-01 	 Rec:3.51e-04 	 Color:0.00e+00 	Time: 0.39
epoch 1950:	pdl:5.25e-01 	 Rec:1.96e-04 	 Color:0.00e+00 	Time: 0.41
epoch 2000:	pdl:5.34e-01 	 Rec:1.94e-04 	 Color:0.00e+00 	Time: 0.38
epoch 2050:	pdl:5.22e-01 	 Rec:1.39e-04 	 Color:0.00e+00 	Time: 0.44
